si,එස්තෝනියාව,ලැට්වියාව,ලිතුවේනියාව,True
pt,estônia,letônia,lituânia,True
ml,എസ്റ്റോണിയ‍,ലാറ്റ്വിയ,ലിത്വാനിയ,True
br,estonia,latvia,lituania,True
or,ଏସ୍ତୋନିଆ,ଲାଟଭିଆ,ଲିଥୁଆନିଆ,True
fa,استونی,لتونی,لیتوانی,True
gd,an eastoin,an laitbhe,an liotuain,True
uz_Cyrl,эстония,латвия,литва,False
sn,estonia,latvia,lithuania,True
he,אסטוניה,לטביה,ליטא,True
chr,ꭱꮝꮩꮒꮿ,ꮃꮨꮻꭰ,ꮅꮧꮺꮒꭰ,True
bs_Cyrl,естонија,латвија,литванија,True
hsb,estiska,letiska,litawska,True
hr,estonija,latvija,litva,True
co,estonia,lettonia,lituania,True
bas,èstonìà,làdvià,lìtùanìà,True
ta,எஸ்டோனியா,லாட்வியா,லிதுவேனியா,True
se,estlánda,látvia,lietuva,True
ur,اسٹونیا,لٹویا,لیتھونیا,True
vi,estonia,latvia,litva,True
ti,ኤስቶንያ,ላትቭያ,ሊትዌንያ,False
ha,estoniya,litibiya,lituweniya,True
wal,ኤስቶኒያ,ላትቪያ,ሊቱዌኒያ,False
dje,estooni,letooni,lituaani,True
ja,エストニア,ラトビア,リトアニア,True
kam,estonia,lativia,litwania,True
pcm,ẹstónia,látvia,lituénia,True
naq,estoniab,latvia,lithuaniab,True
ga,an eastóin,an laitvia,an liotuáin,True
luy,estonia,lativia,litwania,True
khq,estooni,letooni,lituaani,True
smn,eestieennâm,latvia,liettua,True
ro,estonia,letonia,lituania,True
shi,ⵉⵙⵜⵓⵏⵢⴰ,ⵍⴰⵜⴼⵢⴰ,ⵍⵉⵜⵡⴰⵏⵢⴰ,True
nmg,ɛstonia,latvia,lituaniá,True
ce,эстони,латви,литва,False
sd,ايسٽونيا,لاتويا,لٿونيا,True
ks,ایسٹونِیا,لیٹوِیا,لِتھُوانِیا,False
guz,estonia,lativia,litwania,True
xh,e-estonia,elatvia,elithuania,True
rwk,estonia,lativia,litwania,True
sg,estonïi,letonùii,lituanïi,True
ca,estònia,letònia,lituània,True
ewo,esetoní,lətoní,lituaní,True
mua,estoniya,letoniya,lituaniya,True
mn,эстони,латви,литва,False
ast,estonia,letonia,lituania,True
zgh,ⵉⵙⵜⵓⵏⵢⴰ,ⵍⴰⵜⴼⵢⴰ,ⵍⵉⵜⵡⴰⵏⵢⴰ,True
ky,эстония,латвия,литва,False
lij,estònia,lettònia,lituania,True
kln,emetab estonia,emetab latvia,emetab lithuania,True
dz,ཨེས་ཊོ་ནི་ཡ,ལཊ་བི་ཡ,ལི་ཐུ་ཝེ་ནི་ཡ,False
ee,estonia nutome,latvia nutome,lituania nutome,True
ne,इस्टोनिया,लाट्भिया,लिथुएनिया,True
nyn,esitoniya,latviya,lithuania,True
gl,estonia,letonia,lituania,True
